ID,Text,L0,L1,L2,L3,L4,L5,L6
18,LA US MENCIONA QUE ACUDE PARA TRAMITE DE PENSION ALIMENTICIA LA USUARIA REFIERE QUE EL ES ALCOHOLICO TIENE 5 MESES SEPARADA DE EL Y EL HACE 5 MESES LA VIOLENTO LE AVENTO UN ENVASE DE CAGUAMA Y MENCIONA QUE LE QUEBRO LOS VIDIOS DE LA CASA DONDE VIVIAN ASI MISMO MENCINOA QUE AYER FUE A SU CASA PARA VER SI LE DABA UNA CAMA PARA QUE SE DURMIERAN ELLA Y SUS HIJOS Y NO LE QUISO DAR NADA LE JALO DEL PEL Y SE COMENZRON A PELEAR.,0.666666666666667,1,0.666666666666667,0,0,0.333333333333333,0
27,"MENCIONA QUE SU EX PAREJA LE DICE QUE TIENE QUE ESTAR CON ELLA CUANDO VONVIVE CON EL MENOR SI NO ESTA CON EL LA VA A REPROTAR EN JUZGADO, DICE QUE A VECES SE PONE AGRESIVO EL Y LAMAMA DE EL, CUANDO LE TOCA LLEVAR A SU HIJO A CASA DE EL",0,0.333333333333333,0,0.666666666666667,0,0.333333333333333,0
29,MENCIONA QUE SU EX PAREJA TIENE TIEMPO QUE NO LE DA DINERO PARA LOS GASTOS DE SUS HIJOS,1,0,0,0,0,0,0
32,LA USUARIA ACUDE A DENUNCIAR LA SUSTRACCIÓN DE SU MENOR HIJO EL CUAL NO LE FUE DEVUELTO POR SU EX PAREJA DESDE HACE MESES. ÉL NO RESPETÓ EL CONVENIO QUE HICIERON ENTRE ELLOS. ADEMÁS LA BLOQUEÓ DE TODAS LAS VÍAS DE COMUNICACIÓN. ELLA SE ENTERÓ QUE SU EX PAREJA LLEVÓ A SU MENOR HIJO A CANTAR A UN BAR. TAMBIÉN DESEA TENER LA CUSTODIA LEGAL DE SU HIJO,0,0,0,0,0,1,0
46,SE CANALIZO A PERSONAS DESAPARECIDAS DE LA FICALIA DEL ESTADO,0,0,0,0,0,0,1
55,"LA USUARIA REFIERE QUE SE CASÓ SIENDO MENOR DE EDAD, SOLO ESTUVI UNOS MESES VIVIENDO EN MATRIMONIO, FUE POR LA VIOLENCIA QUE VIVÍA CON ÉL QUE SE SEPARÓ, LOS HECHO S OCURRIERON HACE 11 AÑOS, POR LO CUAL SOLICITA DIVORCIO .",0,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333
57,"LA USUARIA MENCIONA TENER UNA RELACIÓN DE PAREJA DONDE ELLA ES CODEPENDIENTE, ÉL LA VIOLENTA PSICOLÓGICAMENTE, REFIERE QUE SU RELACIÓN ES A DISTANCIA YA QUE ÉL ES CASADO Y VIVE EN OTRO LUGAR.",0,0,0,1,0,0,0
58,"REFIERE USUARIA QUE TIENE 7 AÑOS SEPARADA DE SU ESPOSO, QUIEN DURANTE SU SEPARACION NO LA A APOYADO ECONOMICAMENTE CON SUS HIJOS, LA ULTIMA VES QUE LE PIDIO DINERO PARA SUS HIJOS FUE HACE TIEMPO , ELLA DESEA APOYO DE JURIDICO PARA INICIAR TRAMITE DE PENSION ALIMENTICIA.",1,0,0,0,0,0,0
62,"LA USUARIA REFIERE HACE 03 AÑOS NO LE DA PENSION DE ALIMENTOS PARA SU HIJOS YA QUE VA PARA 4 AÑOS DE SEPARADOS EL AGRESOR CUENTA CON TRABAJO ESTABLE NO DESEA DENUNCIAR LOS HECHOS DE VIOLENCIA PSICOLOGICA YA QUE ELLA DICE QUE NO EXISTE TAL DELITO 

JURIDICO/GUARDA Y CUSTODIA/PENSION DE ALIMENTOS
EDUCUACION",0.666666666666667,0,0,0.333333333333333,0,0,0
70,"LA USUARIA REFIERE 20 AÑOS DE MATRIMONIO Y 7 AÑOS SEPARADOS Y DESDE ENTONCES AVECES LES DA Y AVECES NO, Y LA MAYORIA ES NO, POR LO QUE DESEA INICIAR TRAMITE DE PENSION ALIMENTICIA.",0.666666666666667,0,0,0,0,0.333333333333333,0
81,"REFIERE USUARIA QUE EL PAPA DE SU HIJO NO LA APOYA ECONOMICAMENTE, DESDE HACE AÑOS, NO LE HABIA PEDIDO HASTA QUE ACTUAL MENTE SE ENCUNETRA MAL ECONOMICAMENTE, POR LO QUE DESEA APOYO DE JURIDICO PARA INICIAR TRAMITE DE PENSION ALIMENTICIA.",0.666666666666667,0,0,0,0,0,0
85,"LA USUARIA REFIERE QUE HACE 03 SEMANAS EL AGRESOR LE DIJO QUE LE DABA DINERO PARA QUE EL AGRESOR LE MANDA MENSAJE Y LE MANDA COMIDA Y HASTA DINERO CON TERCERAS PERSONAS LA USUARIA LLEGO SE LE HACE UN OFICIO A SUBPROCURADURIA VUELVE A MANDAR OFICIO LA INSTITUCION PARA QUE SE LE DE UNA ORDEN DE PROTECCION EL MP DE ESTE CENTRO REMITE QUE NO EXITSE DELITO ALGUNO EN CONTRA DE LA USUARIA, YA QUE TIENE QUE REALIZAR TAL DENUNCIA EN MP DEL DELITO DE SU HIJA MENOR DE EDAD/ SE LE OFRECE REFUGIO Y LO RECHAZA SE SIENTE SEGURA EN SU CASA EN COMPAÑIA DE SU ESPOSO SE LE DARA INFORMACION DE EDUCACION (PREPARATORIA) ESTA TOMANDO PSICOLOGIA EN",0,0,0,0,0,0,1
89,"LA USUARIA MANIFIESTA QUE TUVO UNA RELACIÓN DE UNIÓN LIBRE POR APROXIMADAMENTE 21 AÑOS. LA HIJA DE AMBOS DE ENTONCES 16 AÑOS DE EDAD, LE DIJO QUE NO SE SENTÍA AGUSTO EN COMPAÑÍA DE SU PADRE, PUES ÉL LE REALIZÓ TOCAMIENTOS. SE FUE 1 DÍA DE LA CASA; LA MADRE REALIZÓ EL REPORTE A SEGURIDAD PÚBLICA MUNICIPAL. EL PADRE NEGÓ TODO, PERO ACCEDIÓ A IRSE DE LA CASA PARA QUE SU HIJA ESTUVIERA "" A GUSTO"". DESDE ENTONCES ÉL LE HA ESTADO ENVIANDO MIL PESOS POR CONCEPTO DE PENSIÓN ALIMENTICIA A FAVOR DE SUS 03 MENORES HIJOS. MENCIONA LA USUARIA QUE HACIA ELLA NO HA HABIDO AGRESIONES POR PARTE DE SU EX PAREJA, PERO DADA LA SITUACIÓN QUE SU HIJA LE COMENTÓ, DESEA UNA MEDIDA DE PROTECCIÓN EN ATENCIÓN A LOS TOCAMIENTOS QUE ELLA LE MENCIONÓ.",0.666666666666667,0,0,0,0.666666666666667,0.666666666666667,0
119,"LA USUARIA MENCIONA TENER 10 AÑOS DE CASADA Y 6 AÑOS DE SEPARADA, MISMOS EN LOS CUAL SU ESPOSO NO SE HA HECHO CARGO DE LOS GASTOS DE SUS HIJOS .",1,0,0,0,0,0,0
122,"LA USUARIA REFIERE QUE LE LLEGO UNA NOTIFICACION DE DIVORCIO, REFIERE QUE QUIERE ASESORIA JURIDICA YA QUE EL CONVENIO TIENE IRREGULARIDADES. NO EXISTE DELITO REFIERE LA USUARIA.",0,0,0,0,0,0,1
133,"USUARIA REFIERE QUE EL NO PROPORCIONA ALIMENTOS, COMENTA QUE LO FINIQUITARON Y DESDE ESE MOMENTO NO HA PROPORCIONADO, TAMBIÉN MENCIONA QUE ELLA SOLICITA APOYO JURÍDICO PARA DAR CONTINUIDAD EN EL TRAMITE DE DIVORCIO QUE INICIO SU EX PAREJA.",1,0,0,0,0,0,0
136,"LA US REFIERE QUE EL DIA DE AYER SU ESPOSO SE ENOJO PORQUE LLEGO EL NOVIO DE LA MAMA DE CONOCIDA SE PUSO CELOSO PORQUE SU HIJO LE HABLA BIEN Y SE SALUDAN BIEN.
EL SE METIO AL CUARTO Y LA AVENTO A LA CAMA, LE DIO CACHETADAS Y UN GOLPE EN EL OJO.CON UNA BOTA GOLPEO SUS PIERNAS Y 3 VECES LA AGARRO Y SOLTO DEL CUELLO , DICIENDOLE QUE LA IBA A MATAR Y QUE ERA UNA PUTA.",0,1,0,1,0,0,0
150,"REFIERE USUARIA QUE HACE 9 MESES ABANDONO EL HOGAR POR PROBLEMAS ECONOMICOS , SU HIJO SE ENCUENTRA VIVIENDO CON EL AGRESOR, Y SU HIJA CON ELLA, EL LA AMENAZADO CON QUERERLE QUITAR A SU MENOR HIJA, ELLA DESEA PRESENTAR EL DIVORCIO Y ASESORIA JURIDICA Y ASESORIA PARA GUARDA Y CUSTODIA.",0,0,0,0.333333333333333,0,0.666666666666667,0
151,USUARIA ACUDE A TRAMITE DE PENSION ALIMENTARIA REFIERE QUE Y TIENE 7 MESES SEPARADA Y QUE DESDE ENTONCES SU EX PAREJA SOLO LE DA LECHE Y PAÑALES. SE CANALIZA A JURIDICO,1,0,0,0,0,0,0
158,"LA US REFIERE HABER DEJADO A SU HIJA CON SU MAMA YA QUE SALIO A UNA FIESTA PORQUE EL LE DIJO QUE SI FUERA, LE EMPEZO A MANDAR MENSAJES Y UN ADUDIO. LE PREGUNTABA DONDE ESTABA ? LE DIJO LEGANDO A LA CASA TE VOY APEGAR..ELLA LLEGO A LA CASA Y EL DORMIA, SE DESPERTO Y ELLA CORRIO Y EL LA SIGUIO, LA AGARRO DEL CABELLO Y LA TUMBO LA AARRASTRO POR LA CALLE Y LA EMPEZO A PATAERA EN LA CABEZA Y EN SU CUERPO, SUS MANOS Y BRAZOS.LA LEVANTO Y LA METIO A LA CASA Y LE VOLVIO A PEGAR EN LA CABEZA CON PUÑO CERRADO. SALIO Y ENTRO NUEVAMENTE A PEGARLE EN LA CABEZA. ELLA SE ACOSTO Y EL LEVANTO LA CAMA Y ELLA SE CAYO. DE AHI PUDO LEVANTARSE Y SALIR DE LA CASA. UNOS AMIGOS LA AYUDARON. SE PASO A MP (MEDICO LEGISTA) Y AL HOSPITAL.",0,1,0,0.333333333333333,0,0,0
164,LA US. REFIERE QUE INSTITUTO DE GOBIERNO RETIRO A SU HIJA COMENTA QUE UNA PERSONA ACUDIO Y LE RETIRO A LA NIÑA Y LA DEJARON EN EL DOMICILIO DE SU MAMA. COMENTAN QUE ELLA SE TENIA QUE SALIR DEL DOMICILIO DE SU SUEGRA.REFIERE QUE ESTA RENTANDO.COMENTA QUE INSTITUTO DE GOBIERNO NO HIZO INVESTIGACION. HAY VIDEO DONDE SE VE QUE INSULTAN A LA NIÑA Y LA AMENAZAN CON GOLPEARLA.,0,0.333333333333333,0,0.666666666666667,0,0.333333333333333,0
168,"USUARIA REFIERE QUE DEJO AL CUIDADO DE SU MENOR JIJO DE 5 AÑOS A SU EX PAREJA (PADRE DEL MENOR) Y AL REGRESAR POR EL MENOR ELLA TOMO EL CELULAR Y MIRO EN EL HISTORIAL QUE ESTABA VIENDO PORNOGRAFIA, ELLA PIENSA QUE SU EX PAREJA FUE EL QUE MIRO Y NO SABE SI SE LO ENSEÑO AL MENOR O EL SOLO MIRO.",0,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
171,REFIERE QUE SU EX PAREJA INCUMPLE EN SU OBLIGACIONES ALIMENTARIAS,1,0,0,0,0,0,0
179,LA USUARIA REFIERE QUE SE SEPARO DE SU PAREJA HACE 13 AÑOS. NO CUMPLE CON SUS OBLIGACIONES ALIMENTICIAS,1,0,0,0,0,0,0
180,"UN AÑO Y MEDIO VIVIENDO EN UNIÓN LIBRE CON SU PAREJA, DE VEZ EN CUANDO SE SUSCITABAN CONFLICTOS Y DIFERENCIAS POR EL MACHISMO DEL SUJETO DERIVANDO AGRESIONES VERBALES HACIA SUSCRITA Y QUE LE AVENTAR OBJETOS O COMIDA. HOY AMBOS SE ENCONTRABAN EN EL DOMICILIO EN COMÚN Y EL AGRESOR SE MOLESTÓ PORQUE USUARIA LE PEDÍA QUE LE AYUDARA ORDENAR UNAS COSAS DE LA CASA, POR LO QUE ESTÉ EMPEZÓ A AGREDIRLA VERBAL Y FÍSICAMENTE POR PRIMERA VEZ, LA AMENAZO CON GOLPEARLA, PRESENTA HEMATOMA VISIBLE EN OJO DERECHO, TAMBIÉN AMENAZÓ CON LLEVARSE SU MENOR. NO HAY DETENIDO, USUARIA SE RESGUARDA HASTA EL MOMENTO EN CASA DE SUS PADRES, AL PARECER EL SUJETO PLANEA IRSE DE LA CIUDAD. SOLO DESEA PRESENTAR DENUNCIA.",0,1,0,1,0,0.333333333333333,0
182,"SEPARADA HACE 7 MESES DEL AGRESOR, YA TRAMITO DIVORCIO CON PARTICULAR, CONTINUO EL TRÁMITE CON LAS DIFERENCIAS FAMILIARES EN RELACIÓN A SUS MENORES. USUARIA MENCIONA HABER VIVIDO VIOLENCIA PSICOLÓGICA Y ECONÓMICA EN SU MATRIMONIO Y EN ESTE TIEMPO SEPARADOS CONTINÚA LA MANIPULACIÓN, CIERTO CONTROL Y CONFLICTOS POR LA CONVIVENCIA CON SUS HIJOS. ÚLTIMO HECHO HOY. EL AGRESOR SE ENCONTRABA MOLESTO PORQUE SUSCRITA SE NEGÓ A PRESTARLE SUS MENORES HACIÉNDOLE SABER QUE SE HABÍA MODIFICADO LA CONVIVENCIA VÍA LEGAL, POR LO QUE EL SUJETO EMPEZÓ A OFENDERLA, DESCALIFICARLA AMENAZÓ CON PUBLICAR IMÁGENES Y VIDEOS ÍNTIMOS DE USUARIA EN REDES SOCIALES. A RAÍZ DE ESTO PRESENTA DAÑO EMOCIONAL, IDEACIÓN SUICIDA HACE 15 DÍAS. DESEA DENUNCIAR LOS HECHOS, TAMBIEN LLEVA ATENCION CON PSICOLOGO PARTICULAR",0.666666666666667,0,0,1,0.666666666666667,0,0
186,USUARIA ACUDE POR QUE CONSTANTEMENTE SU EX PAREJA LA ESTA A ESTADO AMENAZANDO QUE TE VA A QUITAR A LO NIÑOS,0,0,0,1,0,0.333333333333333,0
188,LA USUARIA REFIERE QUE DESDE HACE 05 AÑOS EL PADRE DE SUS HIJOS NO LE APORTA PENSION DE ALIMENTOS YA QUE MENCIONA QUE TIENE UN JUCIO DE ALIMENTOS PERO EL AGRESOR CUANDO LE VAN A REBAJAR POR VIA NOMINA EL SE SALE DEL TRABAJO. ASESORIA JURIDICA TERAPIA GRUPAL,1,0,0,0,0,0,0
192,"14 AÑOS VIVIENDO EN UNIÓN LIBRE, REFIERE QUE, SIEMPRE VIVIDO VIOLENCIA PSICOLÓGICA DEBIDO AL ALCOHOLISMO Y MACHISMO DE SU PAREJA, DERIVANDO QUE DE VEZ EN CUANDO LE GRITE, LA CELE Y LA CORRA DE LA CASA. ÚLTIMO CONFLICTO, AMBOS ENCONTRABAN EN EL DOMICILIO EN COMÚN Y EL AGRESOR ESTABA EN ESTADO DE EBRIEDAD, SE MOLESTÓ PORQUE USUARIO LE PIDIÓ QUE BAJARA EL VOLUMEN DE LA MÚSICA YA QUE TENDRÍA REUNIÓN EN SU CASA POR LO QUE ESTE REACCIONÓ GRITÁNDOLE, CELÁNDOLA Y CORRIENDO LA DEL DOMICILIO. AGRESOR DETENIDO, PASA MINISTERIO PÚBLICO PARA LO CORRESPONDIENTE Y SE BRINDA ASESORÍA Y REQUISITOS PARA TRÁMITE DE ALIMENTOS, ACUDIRÁ A ATENCIÓN PSICOLÓGICA.",0,0,0,0.666666666666667,0,0,0
195,"USUARIA MENCIONA QUE TIENE TRECE AÑOS CASADA, DOS HIJOS EN COMUN, VIOLENCIA PSICOLOGICA POR INFIDELIDAD POR PARTE DE SU ESPOSO, ESTUVIERON SEPARADOS POR OCHO MESES, REGRESO DEBIDO A PROMESAS DE CAMBIO POR SU ESPOSO, QUIEN EL OTRO DIA AGREDIO DE MANERA VERBAL FISICA A USUARIA, EL ESTABA BAJO EL EFECTO DEL ALCOHOL, EMPEZO A DISCUTIR CON USUARIA, DESPUES LA PATEO, LA GOLPEO EN LA CABEZA CON OBJETO DE VIDRIO, LOS HECHOS FUERON EN PRESENCIA DE SUS DOS HIJOS, USUARIA RECIBIO ATENCION MEDICA EN EL IMSS, ACUDE A DENUNCIAR, SE CANALIZA A PS, MP Y JURIDICO POR POSIBLE CANDIDATA A ESPECIALIZADO.",0,1,0,1,0,0,0
213,"LA USUARIA MANIFIESTA QUE HACE 02 AÑOS QUE SU ESPOSO SE FUE A VIVIR A OTRA CIUDAD, SI LA HA ESTADO APOYANDO ECONÓMICAMENTE PARA SUS HIJOS, PERO ELLA YA DESEA DESAHACER EL VINCULO MATRIMONIAL, POR TANTO DESEA ASESORÍA LEGAL SOBRE DIVORCIO.",0.333333333333333,0,0,0,0,0,0.666666666666667
218,"LA USUARIA REFIERE QUE LLEGÓ A SU DOMICILIO Y SU PAREJA ESTABA DORMIDO AL TOCARLE EL SE LEVANTÓ Y ELLA LE DIJO QUE TENÍAN QUE HABLAR, EL SE MOLESTÓ Y COMENZÓ A INSULTARLA Y LUEGO LA GOLPEO EN LA CARA, ELLA TOMÓ A SU HIJA Y SE SALIÓ DEL DOMICILIO.",0,1,0,0.666666666666667,0,0,0
234,"USUARIA REFIERE QUE DESDE EL AÑO PASADO SE SEPARO DE SU ESPOSOS, COMENTA QUE EL NO HA PROPORCIONADO ALIMENTOS POR CONCEPTO DE PENSION, SE LE BRINDA ASESORIA PARA TRAMITE FAMILIAR, DE DIVORCIO Y ALIMENTOS ,",1,0,0,0,0,0,0
240,"USUARIA ACUDE A ASESORIA , REFIERE QUE SU EX PAREJA LA CITO PARA VER LAS CONVIVENCIAS DE SU MENORES HIJO, ELLA MENCIONA QUE ELLA YA LO HA DENUNCIADO POR VIOLENCIA FAMILIAR, EL NO APORTA ECONOMICAMENTE CON LOS GASTOS DE LOS MENORES, Y ELLA MENCIONA TENER MIEDO POR LO VIOLENTO QUE ES.",1,0.333333333333333,0,0.333333333333333,0,0,0
252,"USUARIA REFIERE QUE DISCUTIÓ CON SU PAREJA, COMENTA QUE EL ES CELOSO, Y EL DÍA DE AYER EN LA NOCHE EL FUE A SU TRABAJO, LA INSULTO, LE RECLAMADABA QUE EL LA HABLABA CON VATOS DE AHI, YA VES NO QUE NO ERES UNA ""PUTA"", COMENTA QUE PERSONAS QUE ESTABAN EN EL LUGAR LE HABLARON A LA PATRULLA, Y SE LO LLEVARON DETENIDO.",0,0,0,1,0,0,0
255,"LA USUARIA REFIERE QUE NO RECIBE GASTOS DEL PADRE BIOLOGICO DE SU HIJA MENOR DE EDAD HACE 03 AÑOS, DESEA TRAMITAR LA GUARDA Y CUSTODIA/PENSION DE ALIMENTOS, ASEGURA QUE NO EXISTE VIOLENCIA PSICOLOGICA Y FISICA PARA DENUNCIAR AL AGRESOR. PASARA PARA INFORMACION DE PREPARATORIA.",1,0,0,0,0,0,0
266,"REFIERE USUARIA QUE DESDE HACE 3 MESES ELLA TIENE PROBLEMAS CON EL PAPA DE SU HIJO, EL SE DA CUENTA DE LOS PROBLEMAS QUE TIENEN ELLOS Y ESTA SIENDO PERJUDICADO EN SU AMBIENTE ESCOLAR , A LA USUARIA LE MANDO LLAMAR LA MAESTRA PARA DECIRLE QUE NECESITA TERAPIA PSICOLOGICA. ELLA DESEA TERAPIA INDIVIDUAL.",0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333
270,USUARIA ACUDE POR REQUISITOS DE GUARDIA Y CUSTODIA,0,0,0,0,0,0,1
275,"USUARIA REFIERE QUE SU ESPOSO LE DICE QUE YA SE VA IR DE LA CASA Y ELLA DEPENDE ECONOMCAMENTE DE EL Y ELLA ACUDE PARA VER SI EL LE PUEDE DAR PENSION PARA CUBRIR SUS GASTOS, SE LE DA REQUISITOS DE DIVORCIO",0.666666666666667,0,0,0,0,0.333333333333333,0.333333333333333
276,USUARIA ACUDE A DEMANDAR A SU EX PAREJA POR INCUMPLIMIENTO DE PENSIONES ALIMENTICIAS REFIERE QUE DESDE HACE UN AÑO NO APORTA LA PENSION,1,0,0,0,0,0,0
291,USUARIA ACUDE PARA TRAMITE DE DIVORCIO,0,0,0,0,0,0,1
292,"33 AÑOS DE CASADA Y SIEMPRE VIVIDO VIOLENCIA PSICOLÓGICA Y ECONÓMICA DEBIDO A INFIDELIDAD Y MACHISMO DE SU ESPOSO, LA VIOLENCIA FÍSICA ES ESO HACE UN AÑO SIN EMBARGO A LA FECHA CONTINÚAN LAS OFENSAS, GRITOS, MENOSPRECIO, ETC. ; RECIENTEMENTE EL SEÑOR INSISTE EN QUE SE VAYA DELA CASA, ME REFIERE QUE VENDERÁ EL INMUEBLE PARA REPARTIRLO POR PARTES IGUALES, SIGUE LA LIMITACIÓN ECONÓMICA. ÚLTIMO CONFLICTO EMPEZARON A DISCUTIR NUEVAMENTE POR EL TEMA DE LA CASA, EL SEÑOR CORRE A USUARIO DEL DOMICILIO Y LE DICE QUE LA VA A DEJAR SIN NADA. DESEA TRAMITAR DIVORCIO, SE PROPORCIONAN DATOS PARA ATENCIÓN PSICOLÓGICA, SE LE OFRECE DENUNCIA POR VIOLENCIA PSICOLÓGICA Y ECONÓMICA PERO REFIERE QUE LA PRESENTARA CUANDO TRAIGA PAPELERIA.",1,0.333333333333333,0.333333333333333,1,0,0,0
305,"LA USUARIA MANIFIESTA QUE NUERA HACE TRES SEMANAS LE DEJO A SUS DOS NIETOS PARA QUE SE HICIERA CARGO DE ELLOS, YA QUE ELLA SE IRIA A TRABAJR FUERA DE LA CIUDAD, EL HIJO DE LA USUARIA LLEGO BAJO LOS EFECTOS DEL ALCOHOL PIDIENDO LLEVAR A LOS NIÑOS DE PASEO, PERO LA USUARIA SE NEGO POR LA CONDICION EN QUE EL SE ENCONTRABA Y LA AMENAZO DICIENDOLE QUE SE LLEVARIA LOS NIÑOS. LA USUARIA DESEA ASESORAMIENTO JURIDICO PARA TENER LA GUARDA Y CUSTODIA DE SUS DOS NIETOS PARA CUIDARLOS Y BRINDARLES EDUCACION.",0.333333333333333,0,0,0.666666666666667,0,0.666666666666667,0.333333333333333
307,USUARIA ACUDE PARA TRAMITE DE DIVORCIO,0,0,0,0,0,0,1
309,"LA USUARIA MANIFIESTA QUE DESEA UN ASESOR JURIDICO PARA LLEVAR SU DIVORCIO CON SU ACTUAL CONYUGE, YA QUE LA USUARIA SE SIENTE HOSTIGADA PORQUE LE PROHIBE SALIR, VESTIRSE DE CIERTA MANERA, NO LA DEJA ENTRAR A LA CASA, NO LE AYUDA CON LOS GASTOS.",1,0,0,1,0,0,0
312,USUARIA ACUDE PARA PODER SEGUIR CON SU TRAMITE DE DIVORCIO,0,0,0,0,0,0,1
316,"USUARIA ACUDE A TRAMITE DE PENSION ALIMENTICIA, MEWNCIONA QUE LA MENOR TIENE 15 AÑOS Y EL PADRE QUIERE QUE TRENGAS CONVIVENCIAS AL TIEMPO DEL PADRE Y NO DE LA MENOR Y CUANDO LA MENOR NO PUEDE AMENAZA CON NO DARLE PENSION ALIMENTICIA",1,0,0,0,0,0.333333333333333,0
348,"USUARIA ACUDE A ASESORÍA PARA TRAMITE DE PENSIÓN ALIMENTICIA Y DIVORCIO, MENCIONA QUE ACTUALMENTE QUE TIENE 2 MESES QUE NO PROPORCIONA ALIMENTOS, SE CANALIZA A JURÍDICO. USUARIA TAMBIÉN MENCIONA QUE DISCUTEN EN REFERENCIA A LA CONVIVENCIA DE LA MENOR",1,0,0,0.333333333333333,0,0,0
349,"USUARIA REFIERE QUE HACE DOS MESES QUE SE SEPARO DE SU EX PAREJA SE SEPARARON POR QUE LA DEJO POR OTRA PERSONA Y DESDE ENTONCES EL NO LE HA PASADO LOS GASTOS DEL NIÑO NI LO BUSCA, NO LO HA VISTO DESDE QUE SE SEPARARON .MENCIONA QUE ELLA QUIERE TRAMITAR DIVORCIO, PENSION ALIMENTICIA Y GUARDIA Y CUSTODIA",1,0,0,0,0,0,0
371,"LA USUARIA MANIFIESTA QUE DESDE EL AÑO PASADO EL PAPA DE SU HIJA NO LA APOYA ECONOMICAMENTE, NO PROCURA A LA MENOR NI LA VISITA, POR TANTRO SOLICITA ASESORIA SOBRE PERDIDA DE LA PATRIA POTESTAD.",1,0,0,0,0,0,0
408,"LA USUARIA MANIFIESTA QUE RECIBIO UN CORREO ELECTRONICO DE SU EX ESPOSO DICIENDOLE ""REVISANDO MIS CORREOS VIEJOS VI ESTO, Y TE LO QUIERO COMPARTIR"" LE ENVIO UNA FOTO DE UNA NOTA QUE ELLA LE MANDO CUANDO ESTABAN CASADOS, RECIBIO OTRO CORREO DONDE LE DECIA ""NO HAS CASO OMISO AL CORREO POR FAVOR, CREO QUE PODEMOS TERMINAS YA LAS COSAS BIEN. POR TODO LO BUENO QUE PASAMOS VAMOS A TERMINAR YA BIEN"". LA USUARIA DESEA PRESENTAR UNA DENUNCIA PERO NO PROCEDE PORQUE SU EX ESPOSO NO HA COMETIDO NINGUN DELITO.",0,0,0,0,0,0,1
415,LA USUARIA ACUDE A SOLICITAR ATENCIÓN PSICOLÓGICA Y DAR CONTINUIDAD A SU DEMANDA DE DIVORCIO YA QUE TIENE SENTENCIA DE DIVORCIO PERO AÚN NO SALE SU ACTA DE DIVORCIO.,0,0,0,0,0,0,1
416,"LA US. ESTABA AFUERA DE SU CASA DISCUTIENDO CON SU PAREJA Y UN ""VECINO"" METICHE FUE A DECIRLE ""DEJALA""...Y LA US CONTESTO ""TU NO TE METAS"". AGARRARONA GOLPES A SU PAREJA, Y ELLA QUISO METERSE Y ELLOS LA GOLPEARON Y PARA CUBRIR SU CARA METIA SUS MANOS Y SE LAS DEJARON TODAS MORETONEADAS Y LASTIMADAS.EL DEDO ANULAR DE LA MANO DERECHA ESTA QUEBRADO Y TIENE FRACTURA DESDE EL CODO HASTA LA MUCÑECA DEL BRAZO IZQUERDO.
MP. DENUNCIA",0,1,0,0.333333333333333,0,0,0
421,"REFIERE USUARIA QUE ELLA LE PRESTO A SU HIJA A SU EX PAREJA , CON EL QUE TIENE DOS SEMANAS SEPARADA, A ELLA LE MARCO EL ABUELITO DEL SEÑOR Y LE DIJO QUE LA NIÑA NO HABIA COMIDO Y ESTABA LLORANDO, TAMBIEN LE MARCARON DE LA ESCUELA Y LE DIJERO QUE ELLA NO FUE, ELLA LE HABLO A SU EX PAREJA Y LE PREGUNTO QUE PORQUE NO HABIA IDO LA NIÑA A LA ESCUELA Y LE DIJO QUE SE HABIA QUEDADO DORMIDO, ELLA DESEA APOYO DEL AREA DE JURIDICO PARA INICIAR TRAMITE DE GUARDA Y CUSTODIA.",0.333333333333333,0.333333333333333,0,0,0,0.666666666666667,0
424,"ACUDE PARA TRAMITE DE PENSION ALIMENTICIA, MENCIONA QUE EL SOLO PROPORCIONA UNA CANTIDAD SEMANALE, PERO ESTO NO CUBRE LOS GASTOS DE LA MENOR",1,0,0,0,0,0,0
