ID,TEXT,CLASS
3877,"USUARIA REFIERE QUE AGRESOR ES SU EX PAREJA Y MENCIONA VIVIAN EN OTRA CIUDAD EN CASA DE AGRESOR, HACE 1 MES DISCTURIERON Y AGRESOR ESTRUJO A USUARIA DE LOS BRAZOS, Y EL SE FUE DE LA CASA QUEDANDOSE SOLA USUARIA CON SU HIJA, EL DIA LUNES DE MARZO AGRESOR SE LLEVO A SU HIJA PARA QUE SE DESPIDIERA DE SU MEDIA HERMANA, Y USUARIA SE VINO EL MARTES PARA LA CIUDAD PERO AGRESOR YA NO LE QUISO REGRESAR A LA NIÑA, Y USUARIA LE RALIZAO LLAMADAS PORQUE LE COMENTO QUE YA SE VENDRIA A LA CIUDAD PERO AGRESOR LE DIJO QUE NO SE LA IBA A REGRESAR. USUARIA SOLICITA AYUDA PARA RECUPERAR A SU HIJA PASA A JURIDICO.",0
3878,"USUARIA MANIFIESTA QUE ACUDE TODA VEZ QUE SU ESPOSO SE FUE DEL DOMICILIO CONYUGAL HACE 8 DIAS Y DESDE ENTONCES NO LA APOYA CON PENSION ALIMENTICIA, TIENEN UNA MENOR DE 4 AÑOS EN COMUN CON DISCAPACIDAD",0
3879,"USUARIA MENCIONA QUE ELLA QUIERE REALIZAR TRAMITE DE DIVORCIO, ASÍ COMO LA SEPARACIÓN DE LOS BIENES HECHOS DENTRO DEL MATRIMONIO",0
3880,"USUARIA MENCIONA QUE TIENE TRES MESES SEPARADA DE SU EX PAREJA DEBIDO A VIOLENCIA PSICOLOGICA POR INFIDELIDADES, ADEMAS DURANTE LA RELACION LLEGO A VIVIR VIOLENCIA PSICOLOGICA Y VERBAL, GRITOS Y OFENSAS POR CONDUCTAS MACHISTAS. REFIERE QUE DURANTE SU SEPARACION SOLO DE VEZ EN CUANDO TIENE CONTACTO CON EL, EN OCASIONES CONVIVE CON SU HIJO Y ESPORADICAMENTE HA ESTADO APORTANDO DINERO PARA LOS GASTOS DEL MENOR. COMENTA QUE DESDE SU SEPARACION HA LLEGADO A TENER CRISIS DE ANSIEDAD, POR LO QUE ACUDE A LA INSTITUCION SOLICTANDO ASESORIA JURIDICA Y ATENCION PSICOLOGICA, SE ENTREGARON REQ DE PENSION ALIMENTICIA Y CITA EN PSICOLOGIA.",0
3881,"USUARIA REFIERE QUE SU HIJA ES USUARIA DE LA INSTITUCION, HA PRESENTADO DENUNCIA POR HECHOS DE VIOLENCIA FAMILIAR ESTO EN EL MES DE DICIEMBRE, USUARIA TIENE CONOCIMIENTO QUE SU HIJA CONTINUA VIVIENDO VIOLENCIA PSICOLOGICA Y FISICA, LA AMENAZA CONSTANTEMENTE CON QUITARLE A SUS HIJAS, LA INSULTA, MANIPULA, LA CELA, LA CORRE DEL DOMICILIO EN DONDE AMBOS VIVIEN, LE FRITA QUE ESTA LOCA Y LA GRABA CUANDO SE PRESENTAN HECHOS DE VIOLENCIA. REFIERE QUE EL DIA DE MARZO RECIBIO MENSAJES DE SU YERNO QUIEN ES EL AGRESOR, LE ENVIO VIDEOS EN DONDE LA HIJA DE USUARIA INTENTABA AVENTARSE DE UN VEHICULO DEL CUAL EL AGRESOR MANEJABA, COMENTA QUE ANTERIORMENTE SU HIJA TUVO INTENTOS SUICIDA, SU HIJA HA ESTADO EN TERAPIA PSICOLOGICA DE MANERA PARTICULAR. ACUDE A EXPONER LOS HECHOS PARA BUSCAR APOYO PARA SU HIJA. REFIERE QUE EL AGRESOR TAMBIEN HA SIDO GROSERO CON ELLA, HA LLEGADO A REALIZAR COMENTARIOS OFENSIVOS, SE CANALIZA A MP PARA EXPONER LOS HECHOS QUE SU HIJA VIVE YA QUE TEME POR SU SEGURIDAD, TAMBIEN SE CANALIZA AL AREA DE PS.",0
3882,"MENCIONA QUE TIENE 2 AÑOS DE VIVIR EN UNION LIBRE Y QUE EL DIA DE HOY EN LA MADRUGADA LLEGO SU PAREJA A LA CASA LA DESTAPO Y LE DIJO QUE LE ESTABA VIENDO LA CARA DE PENDEJO Y LA AGARRA DEL CUELLO QUERIENDOLA AHORCAR Y CUANDO ELLA QUISO SAFARSE SE CAE DE LA CAMA Y SE METE DEBAJO DE LA CAMA Y COMO ELLA GRITO CUANDO SE METE DEBAJO DE LA CAMA ENTRAN LOS FAMILIARES DE ÉL Y LO DETIENEN Y HABLAN CON ÉL DE QUE ESTABA HCIENDO Y ELLA NO QUISO SALIR Y LE HABLARON A LA PATRULLA Y SE LO LLEVAN DETENDIO 
QUE EN DIAS PASADOS ELLA LE DIJO QUE NECESITABA BUSCAR UN PSICOLOGO POR QUE HA TENIDO 4 PAREJAS ANTES Y QUE TODAS LE HAN HECHO LO MISMO DE ENGAÑARLO Y QUE ELLA ESTA PAGANDO POR QUE LA ANDA CUIDANDO Y QUE ESTA INSEGURO DE ELLA Y SIEMPRE LA ESTA CONTROLANDO 
QUE ELLA LE DIJO A LOS POLICIAS QUE NO QUERIA DENUNCIAR Y QUE ANOCHE LA LLEVARON AL HOSPITAL GENERAL A ATENCION QUE LA INYECTARON PARA DOLOR Y LE DIJERON QUE SOLO ES EL GOLPE PERO QUE NO AGUANTA EL CUELLO SIENTE QUE TRAE CHILE LE ARDE TODO Y QUE SE REGRESO A LA CASA DONDE VIVIA CON ÉL PERO QUIERE SEPARARSE DE ÉL 
DESEA PASAR AL AREA DE PSICOLOGIA YA QUE NO ESTA DECIDIDA A DENUNCIAR Y PREGUNTA QUE SI NO DENUNCIA LO DEJAN LIBRE YA QUE ANOCHE LO DETUVIERON Y AL PARECER STA EN LAS CELDAS DE MP",0
3883,"ACUDO PARA QUE ME ORIENTEN DEBIDO A QUE MI ESPOSO INGIERE ALCHOL MUY SEGUIDO Y SE PONE VIOLENTO, ME INSULTA VERBALMENTE EL SABADO DE MARZO ME DICE QUE NO VLAGO MADRE, QUE NO SIRVO PARA NADA, CHINGAS A TU MADRE, AMIS HIJOS MAYORES TAMBIEN LES DICE MALDICIONES, TAMBIEN ME JALO DE LOS CABELLOS Y MI HIJO INTERVIENE PARA DEFENDERME... LUEGO NOS CORRIO DE LA CASA Y YO DECIDO VENIRME CON MIS HIJOS.... DESPUES LLEGA MI ESPOSO A LA CASA Y LE PERMITO ENTRAR, LUEGO ME VULEVE A INSULTAR Y YO LE LLAMO A LA PATRULLA Y SE LO LLEVAN DETENIDO....DESEO DENUNCIARLO YA QUE NO ES LA PRIMERA OCASION QUE ME VIOLENTA VERBALMENTE. PASA A PSICOLOGIA",0
3884,SE ANEXA HOJA AL FINAL DE CEDULA,0
3885,"HOY DIA DE ABRIL POR LA MAÑANA EN CASA DE LA USUARIA: 
ME DIJO QUE LES HABLARA A MIS HIJAS LE DIJE QUE EL LES HABLARA EL, Y EMPEZO A DECIR ""ERES UNA HIJA DE TU PUTA MADRE, NO SIRVES PARA NADA"". "" ""TU VALES PURA CHINGADA, NO SIRVES PARA NADA"" ""NO TE HAGAS PENDEJA, TU ME METISTE EN CONTRA DE ELLAS"" (LAS HIJAS). ""LARGATE DE AQUI"" ""SALISTE PURA MADRE, NO SERVISTE PARA NADA"" ""QUERIAS TODO, QUEDARTE CON TODO, PURA MADRE"" ""VALISTE PURA CHINGADA, EL PINCHE SIGNO DE PESOS LO TRAES EN LOSOJOS, EN EL CORAZON, EL ALMA"" ""HIJA DE TU PINCHE MADRE, CUANTO TE LLEVASTE DEL CUARTO"" ""LO PENDEJO YA LO TRAES"" ""TU PINCHE SIGNO DE PESOS, LO TRAES EN EL PINCHE TOMATE, MUERTA DE HAMBRE"".",0
3886,"USUARIA REFIERE QUE SU ESPOSO TRABAJA FUERA DE LA CIUDAD Y REFIERE EL YA SE JUNTO CON OTRA MUJER, POR ELLO USUARIA SOLICTA EL DIVORCIO Y ASESORIA SOBRE LOS BIENES, EN LA ENTREVISTA USUARIA SE ENCUENTRA EN CRISIS SE CANALIZA A PSICOLOGIA. 
USUARIA PASA A JURIDICO PARA ASESORIA DE DIVORCIO, SE LE BRINDA PLAN DE SEGURIDAD.",0
